n,p_positive,p_delete,runs,avg_edges_deleted,avg_complete_ilp_cost,avg_edge_ilp_with4_cost,avg_edge_ilp_without4_cost,avg_new_over_complete_ilp,avg_cost_reduction_fraction,avg_complete_lp_ratio,avg_edge_lp_ratio_with4,avg_complete_pivot_ratio,avg_edge_pivot_ratio_with4,avg_complete_bad_triangles,avg_edge_bad_triangles,avg_bad_triangle_removed_fraction,avg_bad_4_cycles,cost_changed_by_4cycles_fraction,clustering_changed_by_4cycles_fraction
20,0.7,0.05,50,9.2,54.34,53.48,53.48,0.9849819916268554,0.01501800837314457,0.9951825980392157,0.9927686451741524,1.2408344550641315,1.2559252206400373,499.84,433.86,0.13173121717337277,10.7,0.0,0.08
20,0.7,0.15,50,27.8,54.34,50.3,50.3,0.9285737700602698,0.07142622993973019,0.9951825980392157,0.980799268971027,1.2408344550641315,1.2846462561718017,499.84,313.6,0.3725720964814996,62.18,0.0,0.14
20,0.7,0.25,50,47.34,54.34,43.92,43.92,0.8123540215605134,0.18764597843948663,0.9951825980392157,0.9555483278047331,1.2408344550641315,1.2960627134393858,499.84,209.58,0.580547697517571,101.88,0.0,0.48
20,0.7,0.40,50,76.34,54.34,29.56,28.9,0.5494314034725826,0.4505685965274175,0.9951825980392157,0.9316124628102944,1.2408344550641315,1.3281172369597014,499.84,92.0,0.8158733225936498,80.16,0.46,0.82
20,0.8,0.05,50,9.2,37.28,37.26,37.26,0.9994871794871795,0.0005128205128205128,1.0,1.0,1.3527222190596273,1.4401002825760347,433.0,382.14,0.11795880903898513,10.24,0.0,0.0
20,0.8,0.15,50,27.8,37.28,37.16,37.16,0.9971794871794872,0.0028205128205128203,1.0,1.0,1.3527222190596273,1.5459908410774956,433.0,289.36,0.3330759560976012,68.6,0.0,0.0
20,0.8,0.25,50,47.34,37.28,36.38,36.38,0.9777165028586803,0.022283497141319702,1.0,0.9998717892935358,1.3527222190596273,1.569259812466515,433.0,206.44,0.5237808902480762,121.24,0.0,0.0
20,0.8,0.40,50,76.34,37.28,32.12,32.02,0.870901187353913,0.129098812646087,1.0,0.9898246667645677,1.3527222190596273,1.4913872242729482,433.0,108.26,0.749994111017703,122.38,0.1,0.44
25,0.2,0.05,50,14.66,39.64,28.28,28.22,0.7118485037544431,0.2881514962455569,0.7591051611983576,0.8075417880155278,1.2840157410348643,1.2496381367710212,220.86,126.92,0.4276061424777153,0.7,0.06,0.22
25,0.2,0.15,50,44.62,39.64,6.52,6.42,0.1639657859300036,0.8360342140699965,0.7591051611983576,0.9617117604617604,1.2840157410348643,1.1565440115440115,220.86,14.14,0.935870335646886,0.46,0.1,0.18
25,0.2,0.25,50,74.68,39.64,0.0,0.0,0.0,1.0,0.7591051611983576,,1.2840157410348643,,220.86,0.0,1.0,0.0,0.0,0.0
25,0.2,0.40,50,120.46,39.64,0.0,0.0,0.0,1.0,0.7591051611983576,,1.2840157410348643,,220.86,0.0,1.0,0.0,0.0,0.0
25,0.3,0.05,50,14.66,62.06,50.38,50.38,0.8114542579722352,0.1885457420277648,0.7261509222073782,0.7498137515863139,1.2855827311690133,1.2809425296976105,437.06,306.46,0.29934023997280335,3.82,0.0,0.62
25,0.3,0.15,50,44.62,62.06,27.56,27.42,0.4432831997521487,0.5567168002478513,0.7261509222073782,0.8253233396214039,1.2855827311690133,1.2391346522199869,437.06,110.92,0.74649306645951,7.56,0.14,0.8
